year,host_country,competing_country,lag_country_total_athletes,lag_country_total_medals,country_total_appearances,country_golds,lag_country_golds,country_silvers,lag_country_silvers,country_bronzes,lag_country_bronzes,lag_country_ranking,lag_country_female_athletes,lag_country_male_athletes
1896,Greece,Australia,0,0,1,2,0,0,0,0,0,-1,0,0
1896,Greece,Austria,0,0,1,2,0,1,0,2,0,-1,0,0
1896,Greece,Denmark,0,0,1,1,0,2,0,3,0,-1,0,0
1896,Greece,France,0,0,1,5,0,4,0,2,0,-1,0,0
1896,Greece,Germany,0,0,1,6,0,5,0,2,0,-1,0,0
1896,Greece,Great Britain,0,0,1,2,0,3,0,2,0,-1,0,0
1896,Greece,Greece,0,0,1,10,0,18,0,19,0,-1,0,0
1896,Greece,Hungary,0,0,1,2,0,1,0,3,0,-1,0,0
1896,Greece,Mixed team,0,0,1,1,0,0,0,1,0,-1,0,0
1896,Greece,Switzerland,0,0,1,1,0,2,0,0,0,-1,0,0
1896,Greece,United States,0,0,1,11,0,7,0,2,0,-1,0,0
1900,France,Australia,1,2,2,2,2,0,0,3,0,8,0,1
1900,France,Austria,3,5,2,0,2,3,1,3,2,7,0,3
1900,France,Belgium,0,0,1,6,0,7,0,4,0,-1,0,0
1900,France,Bohemia,0,0,1,0,0,1,0,1,0,-1,0,0
1900,France,Canada,0,0,1,1,0,0,0,1,0,-1,0,0
1900,France,Cuba,0,0,1,1,0,1,0,0,0,-1,0,0
1900,France,Denmark,3,6,2,1,1,3,2,2,3,9,0,3
1900,France,France,12,11,2,27,5,39,4,37,2,4,0,12
1900,France,Germany,19,13,2,4,6,3,5,2,2,3,0,19
1900,France,Great Britain,10,7,2,15,2,7,3,9,2,5,0,10
1900,France,Hungary,7,6,2,1,2,2,1,2,3,6,0,7
1900,France,India,0,0,1,0,0,2,0,0,0,-1,0,0
1900,France,Italy,0,0,1,3,0,2,0,0,0,-1,0,0
1900,France,Luxembourg,0,0,1,1,0,0,0,0,0,-1,0,0
1900,France,Mixed team,0,2,2,8,1,5,0,6,1,11,0,0
1900,France,Netherlands,0,0,1,0,0,2,0,3,0,-1,0,0
1900,France,Norway,0,0,1,0,0,2,0,3,0,-1,0,0
1900,France,Spain,0,0,1,1,0,0,0,0,0,-1,0,0
1900,France,Sweden,0,0,1,0,0,0,0,1,0,-1,0,0
1900,France,Switzerland,3,3,2,6,1,2,2,1,0,10,0,3
1900,France,United States,14,20,2,19,11,14,7,15,2,1,0,14
1904,United States,Australia,2,5,3,0,2,3,0,1,3,9,0,2
1904,United States,Austria,16,6,3,1,0,1,3,1,3,16,0,16
1904,United States,Canada,4,2,2,4,1,1,0,1,1,13,0,4
1904,United States,Cuba,1,2,2,3,1,0,1,0,0,12,0,1
1904,United States,France,715,103,3,0,27,1,39,0,37,1,12,703
1904,United States,Germany,76,9,3,4,4,5,3,6,2,7,0,76
1904,United States,Great Britain,104,31,3,1,15,1,7,0,9,3,1,103
1904,United States,Greece,102,47,2,1,10,0,18,1,19,2,0,102
1904,United States,Hungary,18,5,3,2,1,1,2,1,2,11,0,18
1904,United States,Mixed team,0,19,3,2,8,1,5,1,6,4,0,0
1904,United States,Norway,7,5,2,2,0,0,2,0,3,17,0,7
1904,United States,Switzerland,18,9,3,1,6,0,2,2,1,6,1,17
1904,United States,United States,75,48,3,76,19,78,14,77,15,2,7,68
1908,United Kingdom,Australasia,0,0,1,1,0,2,0,2,0,-1,0,0
1908,United Kingdom,Austria,2,3,4,0,1,0,1,1,1,8,0,2
1908,United Kingdom,Belgium,64,17,2,1,6,5,7,2,4,5,0,64
1908,United Kingdom,Bohemia,7,2,2,0,0,0,1,2,1,20,1,6
1908,United Kingdom,Canada,55,6,3,3,4,3,1,10,1,3,0,55
1908,United Kingdom,Denmark,13,6,3,0,1,2,3,3,2,10,0,13
1908,United Kingdom,Finland,0,0,1,1,0,1,0,3,0,-1,0,0
1908,United Kingdom,France,1,1,4,5,0,5,1,9,0,13,0,1
1908,United Kingdom,Germany,22,15,4,3,4,5,5,5,6,2,0,22
1908,United Kingdom,Great Britain,6,2,4,56,1,51,1,39,0,9,0,6
1908,United Kingdom,Greece,14,2,3,0,1,3,0,1,1,11,0,14
1908,United Kingdom,Hungary,4,4,4,3,2,4,1,2,1,5,0,4
1908,United Kingdom,Italy,23,5,2,2,3,2,2,0,0,8,1,22
1908,United Kingdom,Netherlands,35,5,2,0,0,0,2,2,3,17,0,35
1908,United Kingdom,Norway,3,2,3,2,2,3,0,3,0,7,0,3
1908,United Kingdom,Russian Empire,0,0,1,1,0,2,0,0,0,-1,0,0
1908,United Kingdom,South Africa,0,0,1,1,0,1,0,0,0,-1,0,0
1908,United Kingdom,Sweden,10,1,2,8,0,6,0,11,1,21,0,10
1908,United Kingdom,United States,518,231,4,23,76,12,78,12,77,1,6,512
1912,Sweden,Australasia,30,5,2,2,1,2,2,3,2,11,0,30
1912,Sweden,Austria,7,1,5,0,0,2,0,2,1,19,0,7
1912,Sweden,Belgium,70,8,3,2,1,1,5,3,2,10,0,70
1912,Sweden,Canada,87,16,4,3,3,2,3,3,10,7,0,87
1912,Sweden,Denmark,78,5,4,1,0,6,2,5,3,16,0,78
1912,Sweden,Finland,62,5,2,9,1,8,1,9,3,13,0,62
1912,Sweden,France,208,19,5,7,5,4,5,3,9,4,0,208
1912,Sweden,Germany,82,13,5,5,3,13,5,7,5,5,2,80
1912,Sweden,Great Britain,732,146,5,10,56,15,51,16,39,1,39,693
1912,Sweden,Greece,20,4,4,1,0,0,3,1,1,15,0,20
1912,Sweden,Hungary,65,9,5,3,3,2,4,3,2,6,0,65
1912,Sweden,Italy,66,4,3,3,2,1,2,2,0,9,0,66
1912,Sweden,Netherlands,113,2,3,0,0,0,0,3,2,17,0,113
1912,Sweden,Norway,69,8,4,3,2,2,3,5,3,8,0,69
1912,Sweden,Russian Empire,0,3,2,0,1,2,2,3,0,12,0,0
1912,Sweden,South Africa,14,2,2,4,1,2,1,0,0,14,0,14
1912,Sweden,Sweden,164,25,3,23,8,25,6,17,11,3,3,161
1912,Sweden,United States,119,47,5,26,23,19,12,19,12,2,0,119
1920,Belgium,Australia,2,4,4,0,0,2,3,1,1,12,0,2
1920,Belgium,Belgium,36,6,4,14,2,11,1,11,3,13,1,35
1920,Belgium,Brazil,0,0,1,1,0,1,0,1,0,-1,0,0
1920,Belgium,Canada,37,8,5,3,3,3,2,3,3,9,0,37
1920,Belgium,Czechoslovakia,0,0,1,0,0,0,0,2,0,-1,0,0
1920,Belgium,Denmark,147,12,5,3,1,9,6,1,5,14,1,146
1920,Belgium,Estonia,0,0,1,1,0,2,0,0,0,-1,0,0
1920,Belgium,Finland,164,26,3,15,9,10,8,9,9,4,2,162
1920,Belgium,France,119,14,6,9,7,19,4,13,3,5,1,118
1920,Belgium,Great Britain,273,41,6,14,10,15,15,13,16,3,10,263
1920,Belgium,Greece,22,2,5,0,1,1,0,0,1,15,0,22
1920,Belgium,Italy,66,6,4,13,3,5,1,5,2,11,0,66
1920,Belgium,Japan,0,0,1,0,0,2,0,0,0,-1,0,0
1920,Belgium,Luxembourg,1,1,2,0,1,1,0,0,0,14,0,1
1920,Belgium,Netherlands,33,3,4,4,0,2,0,5,3,18,0,33
1920,Belgium,New Zealand,0,0,1,0,0,0,0,1,0,-1,0,0
1920,Belgium,Norway,190,10,5,13,3,9,2,9,5,8,2,188
1920,Belgium,South Africa,21,6,3,3,4,4,2,3,0,7,0,21
1920,Belgium,Spain,9,1,2,0,1,2,0,0,0,14,0,9
1920,Belgium,Sweden,434,65,4,19,23,20,25,25,17,2,23,411
